,open,high,low,close,volume,volatility,rsi,sma_20
2025-03-04,237.705,240.07,234.68,235.93,53798062.0,,45.8851,238.5405
2025-03-05,235.42,236.55,229.23,235.74,47227643.0,,45.6498,238.7
2025-03-06,234.435,237.86,233.1581,235.33,45170419.0,,45.1125,238.8556
2025-03-07,235.105,241.37,234.76,239.07,46273565.0,,50.8018,239.1605
2025-03-10,235.54,236.16,224.22,227.48,71451281.0,,37.7448,239.1655
2025-03-11,223.805,225.8399,217.45,220.84,76137410.0,,32.5787,238.8254
2025-03-12,220.14,221.75,214.91,216.98,62547467.0,,30.0074,238.0444
2025-03-13,215.95,216.8394,208.42,209.68,61368330.0,,25.8519,236.6866
2025-03-14,211.25,213.95,209.58,213.49,60107582.0,,31.2065,235.2863
2025-03-17,213.31,215.22,209.97,214.0,48073426.0,,31.9153,233.7582
2025-03-18,214.16,215.15,211.49,212.69,42432426.0,,31.0309,232.1711
2025-03-19,214.22,218.76,213.75,215.24,54385391.0,,34.8173,230.6915
2025-03-20,213.99,217.4899,212.22,214.1,48862947.0,,33.9208,229.1069
2025-03-21,211.56,218.84,211.28,218.27,94127768.0,,40.0065,227.7446
2025-03-24,221.0,221.48,218.58,220.73,44299483.0,,43.3227,226.4277
2025-03-25,220.77,224.1,220.08,223.75,34493583.0,,47.1825,225.2646
2025-03-26,223.51,225.02,220.47,221.53,34532656.0,,44.7689,224.3243
2025-03-27,221.39,224.99,220.5601,223.85,37094774.0,,47.7755,223.6526
2025-03-28,221.67,223.81,217.68,217.9,39818617.0,,41.5312,222.4571
2025-03-31,217.005,225.62,216.23,222.13,65299321.0,,46.8498,221.6631
2025-04-01,219.805,223.68,218.9,223.19,36412740.0,0.019621551994728974,48.1232,221.0269
2025-04-02,221.315,225.19,221.02,223.89,35905904.0,0.01966014069163877,48.9924,220.4351
2025-04-03,205.54,207.49,201.25,203.19,103419006.0,0.028138780192071278,31.9469,218.8301
2025-04-04,193.89,199.88,187.34,188.38,125910913.0,0.03118729977109737,25.1933,216.2987
2025-04-07,177.2,194.15,174.62,181.46,160466286.0,0.03055581611008287,22.771,214.0005
2025-04-08,186.7,190.335,169.2101,172.42,120859491.0,0.03154230376988515,20.0578,211.5825
2025-04-09,171.95,200.61,171.89,198.85,184395885.0,0.0484877407935945,41.8665,210.6771
2025-04-10,189.065,194.7799,183.0,190.42,121879981.0,0.048814601589588225,38.2795,209.7153
2025-04-11,186.1,199.54,186.06,198.15,87435915.0,0.04959484022760063,43.0941,208.9493
2025-04-14,211.44,212.94,201.1621,202.52,101352911.0,0.04989271191385365,45.6742,208.376
2025-04-15,201.855,203.51,199.8,202.14,51343872.0,0.04988150618809615,45.4811,207.8491
2025-04-16,198.36,200.7,192.37,194.27,59732423.0,0.050458891854385894,41.5619,206.8019
2025-04-17,197.2,198.8335,194.42,196.98,52164675.0,0.050614880436488076,43.3715,205.947
2025-04-21,193.265,193.8,189.8112,193.16,46742537.0,0.05045341883852479,41.4243,204.693
2025-04-22,196.12,201.59,195.97,199.74,52976371.0,0.051091783878079874,45.9276,203.6448
2025-04-23,206.0,208.0,202.799,204.6,52929165.0,0.05133823771769307,49.0436,202.6885
2025-04-24,204.89,208.8299,202.94,208.37,47310989.0,0.0515351741185548,51.3841,202.0313
2025-04-25,206.365,209.75,206.2,209.28,38222258.0,0.05147652258088613,51.9577,201.3037
2025-04-28,210.0,211.5,207.46,210.14,38743074.0,0.05116591425768109,52.5277,200.9162
2025-04-29,208.693,212.24,208.37,211.21,36827633.0,0.05097095433178875,53.2706,200.3709
2025-04-30,209.3,213.58,206.6705,212.5,52286454.0,0.05098022411875079,54.2012,199.837
2025-05-01,209.08,214.56,208.9,213.32,57365675.0,0.050983750573159695,54.8171,199.3092
2025-05-02,206.09,206.99,202.16,205.35,101010621.0,0.04713759286134333,48.0526,199.417
2025-05-05,203.1,204.1,198.21,198.89,69018452.0,0.04453298345304458,43.38,199.9419
