,open,high,low,close,volume,volatility,rsi,sma_20
2025-03-04,110.645,119.31,110.11,115.99,398163305.0,,38.5295,129.4862
2025-03-05,117.58,118.2781,114.51,117.3,284337886.0,,39.8965,129.4188
2025-03-06,113.53,115.35,110.22,110.57,321181861.0,,35.5256,128.7059
2025-03-07,111.25,113.48,107.56,112.69,341755468.0,,37.8359,127.9065
2025-03-10,109.9,111.85,105.46,106.98,361107562.0,,34.2736,126.7637
2025-03-11,106.99,112.236,104.77,108.76,354865692.0,,36.2874,125.5234
2025-03-12,114.12,116.76,112.88,115.74,323857454.0,,43.5961,124.671
2025-03-13,117.03,117.76,113.79,115.58,299033131.0,,43.4731,123.8936
2025-03-14,118.61,121.88,118.15,121.67,277593455.0,,49.3302,123.2133
2025-03-17,122.74,122.89,118.03,119.53,255501481.0,,47.4689,122.2479
2025-03-18,118.0,119.02,114.54,115.43,299686944.0,,44.0404,121.0501
2025-03-19,117.27,120.445,115.68,117.52,273426225.0,,46.1746,119.9653
2025-03-20,116.55,120.2,116.47,118.53,248829749.0,,47.2221,118.887
2025-03-21,116.94,117.99,115.42,117.7,266498528.0,,46.4225,118.0511
2025-03-24,119.88,122.22,119.34,121.41,228452534.0,,50.4603,117.6082
2025-03-25,120.545,121.29,118.92,120.69,167447198.0,,49.6778,117.3118
2025-03-26,118.73,118.84,112.71,113.76,296431667.0,,42.7987,116.4364
2025-03-27,111.35,114.45,110.66,111.43,236902055.0,,40.7553,116.0009
2025-03-28,111.485,112.87,109.0701,109.67,229872549.0,,39.2316,115.239
2025-03-31,105.13,110.955,103.65,108.38,299212653.0,,38.107,114.9555
2025-04-01,108.515,110.2,106.47,110.15,222614034.0,0.033070886165944016,40.622,114.6641
2025-04-02,107.29,111.98,106.79,110.42,220601243.0,0.03294182593181058,41.0158,114.3206
2025-04-03,103.51,105.63,101.6,101.8,338769412.0,0.035015508673514474,33.4007,113.8826
2025-04-04,98.91,100.13,92.11,94.31,532273810.0,0.037874724093843876,28.4568,112.9642
2025-04-07,87.46,101.75,86.62,97.64,611041347.0,0.03767625760473574,33.1915,112.4977
