,open,high,low,close,volume,volatility,rsi,sma_20
2025-03-04,103.61,104.1928,97.85,101.73,13995342.0,,33.9442,118.185
2025-03-05,102.76,106.65,101.59,106.15,8409379.0,,40.5354,117.5325
2025-03-06,103.51,109.45,101.36,102.49,12036241.0,,37.2232,116.5705
2025-03-07,100.85,103.5,95.36,100.13,13894541.0,,35.2246,115.648
2025-03-10,96.07,96.187,91.69,92.75,16045891.0,,29.8305,114.415
2025-03-11,92.75,95.1085,91.1504,92.95,12127097.0,,30.1427,113.0675
2025-03-12,96.67,99.1347,95.29,96.53,8531861.0,,35.661,111.7145
2025-03-13,95.17,95.53,89.1,90.59,11076352.0,,31.2501,110.2195
2025-03-14,94.61,95.83,93.06,94.85,7065105.0,,37.2451,108.5795
2025-03-17,95.02,98.43,94.5811,96.59,5771599.0,,39.5633,106.9915
2025-03-18,95.9,96.12,92.91,94.01,5371985.0,,37.3596,105.2265
2025-03-19,99.625,103.17,97.65,101.54,17808918.0,,46.6923,103.9205
2025-03-20,98.46,104.19,98.46,101.85,8603982.0,,47.0421,102.8395
2025-03-21,100.27,104.43,99.1997,104.21,8696437.0,,49.7458,102.272
2025-03-24,106.95,110.68,106.795,109.28,10099194.0,,55.0546,101.962
2025-03-25,109.99,111.0,108.7504,109.82,5752916.0,,55.5926,101.9055
2025-03-26,109.17,109.42,103.05,104.28,7298424.0,,49.0984,101.458
2025-03-27,102.32,103.71,99.73,102.52,7639465.0,,47.2115,101.0425
2025-03-28,99.15,100.26,95.861,96.68,13202790.0,,41.5109,100.2765
2025-03-31,92.72,96.11,89.235,95.48,15801876.0,,40.4306,99.7215
2025-04-01,95.8,99.54,93.96,97.64,10309366.0,0.04207750869664681,43.2914,99.517
2025-04-02,95.025,101.45,94.65,100.65,7892018.0,0.041462715589372305,47.1036,99.242
2025-04-03,87.325,87.7,81.25,82.29,28920201.0,0.05763415800659587,32.6746,98.232
2025-04-04,77.48,78.27,69.84,76.89,29707523.0,0.058942797084070235,29.7847,97.07
2025-04-07,70.295,83.47,69.99,78.82,22525914.0,0.05756738445159646,32.0963,96.3735
2025-04-08,83.93,86.36,75.23,77.09,18606174.0,0.057630596270052716,31.1077,95.5805
2025-04-09,75.38,94.14,74.67,91.4,26917457.0,0.07153982470308985,45.9404,95.324
2025-04-10,87.24,87.397,81.3872,84.63,16133730.0,0.07215701161020328,41.3991,95.026
2025-04-11,84.725,85.2099,78.0,83.71,18099213.0,0.07128927233133343,40.8088,94.469
2025-04-14,87.06,88.27,81.915,82.77,10460435.0,0.07111237180565388,40.1784,93.778
2025-04-15,82.71,84.68,81.93,83.91,6986379.0,0.07104620276226621,41.3615,93.273
2025-04-16,81.61,85.35,81.32,83.96,8811928.0,0.06830877361493137,41.4162,92.394
2025-04-17,84.0,85.08,81.8401,83.65,11592872.0,0.06827200143535228,41.1597,91.484
2025-04-21,82.27,83.14,80.35,81.64,8153036.0,0.06796883936172751,39.4536,90.3555
2025-04-22,82.99,86.61,81.64,85.71,8663969.0,0.06802383229967576,44.4727,89.177
2025-04-23,91.53,95.45,89.92,90.96,14028990.0,0.06981073038851221,50.2066,88.234
2025-04-24,90.645,95.265,89.41,95.12,7847323.0,0.06997627802224213,54.239,87.776
2025-04-25,95.79,98.64,95.3601,97.12,7824831.0,0.07007210835012609,56.0805,87.506
2025-04-28,96.85,99.07,96.5,98.57,5892885.0,0.06884788085983656,57.4184,87.6005
2025-04-29,98.83,99.8174,97.84,98.92,6797168.0,0.06874917922927734,57.7529,87.7725
2025-04-30,96.135,96.135,92.4,95.0,13233226.0,0.06927129349676625,52.754,87.6405
2025-05-01,98.215,98.89,95.55,97.01,8287955.0,0.06908519640481246,54.9092,87.4585
2025-05-02,98.1,100.49,97.63,99.25,11140777.0,0.054115919652308206,57.2496,88.3065
